HIP,Plx,pmRA,pmDE,res_mean,res_std,res_range,n_measurements
2382,-1.03,-5.46,-1.24,0.4487012987012985,12.938191360772656,79.83,154
2547,8.45,35.96,-3.9,-0.29312499999999997,4.333877029953607,21.61,80
4415,1.96,17.68,12.15,0.06647540983606558,6.019917344114356,38.06,122
5123,2.17,15.29,-9.57,0.04494382022471908,5.137148157294063,29.86,89
6715,6.95,34.94,14.02,-0.7513513513513513,3.742633064891989,16.6,74
6858,1.73,1.39,-7.5,-0.16517647058823526,2.7675800034741997,16.93,85
7932,2.33,2.22,12.85,0.09529914529914524,5.361765434400664,39.91,117
8796,51.5,10.82,-234.24,0.033023255813953475,0.9578788696200419,5.49,86
10238,1.97,-1.62,-5.59,0.19538461538461538,6.149323294697329,39.12,130
10245,19.66,278.14,-7.9,-1.1134042553191488,6.262641847502476,36.91,94
10324,8.51,-26.87,-17.23,-0.041935483870967766,1.455168108940555,7.52,62
12371,3.07,0.7,0.39,-0.39576923076923076,6.33255119628998,54.45,182
14159,6.23,46.3,-12.27,-0.7615079365079369,7.939139103702398,42.03,126
14460,6.78,-28.09,-31.75,0.08185567010309289,5.192853729304523,27.869999999999997,97
16641,24.76,95.31,-308.87,0.16681318681318683,1.5097195318048529,7.27,91
18361,2.44,13.5,-7.22,-0.4493037974683547,5.024100403309358,28.130000000000003,158
19158,0.98,2.93,10.41,-0.1266187050359712,6.143170539802461,36.55,139
19828,9.74,21.39,-3.23,-0.004509803921568473,6.458692830634954,33.85,153
22340,2.43,-1.46,-0.37,-0.4736363636363637,4.847005833979247,32.31,110
22505,23.69,90.21,-20.56,0.6181818181818183,3.294549302240764,17.21,66
23502,7.08,-15.73,-6.29,0.27818181818181825,3.9707573704621173,23.37,110
23773,7.16,-15.93,0.7,1.0132089552238808,7.431123292247334,52.44,134
24247,2.88,-6.66,2.15,-0.27851851851851855,4.228283076826548,22.060000000000002,81
24833,1.96,8.3,5.7,-0.4269747899159665,5.764507498715645,28.53,119
25962,2.61,1.07,-1.13,-0.4319587628865979,3.8589575554738165,19.21,97
27213,8.0,24.25,-36.02,0.5862931034482759,7.093540175849207,42.34,116
27628,37.41,54.77,404.2,-0.17025210084033612,0.6497319684468514,3.2199999999999998,119
