HIP,MCE,NRES,NC,isol_n,SCE,F2,F1,Hp,B-V,VarAnn,NOB,NR,RAdeg,DEdeg,Plx,pmRA,pmDE,e_RA,e_DE,e_Plx,e_pmRA,e_pmDE,IORB,EPOCH,PARF,CPSI,SPSI,RES,SRES,Rejected,FileName
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,74,-1.3162,0.4488,-0.4074,0.9132,-4.2,9.81,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,74,-1.3162,0.4485,-0.4065,0.9136,4.12,8.78,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,75,-1.315,0.4379,-0.399,0.917,-9.98,9.15,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,106,-1.2773,-0.5387,0.5092,0.8606,0.0,9.14,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,106,-1.2773,-0.5416,0.5127,0.8585,-5.91,9.55,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,106,-1.2773,-0.5414,0.5128,0.8585,4.34,9.44,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,181,-1.1861,0.6707,-0.9749,0.2225,4.55,11.61,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,181,-1.1861,0.6699,-0.9747,0.2236,-15.56,9.63,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,181,-1.1861,0.6699,-0.9747,0.2236,-33.84,11.45,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,181,-1.1861,0.6706,-0.9749,0.2226,1.94,9.13,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,243,-1.1107,-0.6314,-0.2554,0.9668,-19.23,8.96,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,243,-1.1107,-0.6285,-0.2593,0.9658,7.95,8.98,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,243,-1.1107,-0.6267,-0.262,0.9651,19.1,9.41,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,243,-1.1107,-0.6271,-0.2614,0.9652,-7.2,9.28,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,296,-1.0463,0.4952,-0.9332,-0.3595,3.79,8.36,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,296,-1.0463,0.4944,-0.9335,-0.3586,14.53,9.61,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,296,-1.0463,0.4976,-0.9318,-0.363,-5.09,10.94,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,296,-1.0463,0.4978,-0.9317,-0.3632,-8.33,9.39,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,403,-0.9162,-0.2618,-0.9257,-0.3782,10.25,15.79,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,403,-0.9162,-0.2578,-0.9237,-0.3832,-3.78,14.47,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,403,-0.9162,-0.2594,-0.9238,-0.3828,27.86,11.15,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,403,-0.9162,-0.2527,-0.921,-0.3896,-24.85,15.18,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,403,-0.9162,-0.2515,-0.9203,-0.3911,19.68,10.78,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,403,-0.9162,-0.2478,-0.9182,-0.3961,2.04,11.63,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,403,-0.9162,-0.2471,-0.9179,-0.3968,-6.51,9.79,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,404,-0.915,-0.2462,-0.9131,-0.4078,7.94,14.22,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,404,-0.915,-0.2444,-0.9122,-0.4098,-26.17,9.11,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,433,-0.8797,0.2883,-0.1809,-0.9835,-6.92,9.29,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,433,-0.8797,0.2915,-0.1778,-0.9841,9.09,8.58,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,433,-0.8797,0.2957,-0.1719,-0.9851,-5.47,8.29,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,433,-0.8797,0.2957,-0.1714,-0.9852,1.25,9.61,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,433,-0.8797,0.2998,-0.1657,-0.9862,-2.14,8.07,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,433,-0.8797,0.3004,-0.1655,-0.9862,9.99,9.65,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.2981,-0.1595,-0.9872,-0.61,8.29,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.3022,-0.154,-0.9881,-3.36,8.83,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.3022,-0.154,-0.9881,-19.31,9.29,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.3068,-0.1487,-0.9889,-2.56,8.78,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.3071,-0.1475,-0.9891,-9.28,8.5,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.3108,-0.1423,-0.9898,-1.73,8.83,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.3141,-0.1392,-0.9903,11.59,8.47,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.3169,-0.134,-0.991,-17.18,9.74,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,434,-0.8785,0.3177,-0.1336,-0.991,9.67,9.81,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,533,-0.7582,-0.6062,-0.446,-0.895,3.3,8.5,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,533,-0.7582,-0.6052,-0.4454,-0.8953,-9.21,10.92,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,533,-0.7582,-0.603,-0.4427,-0.8967,-14.93,8.63,False,H002382.d
2382,2376,154,1,5,0,4.38,0,11.0009,0.469,0,154,0,7.60188702,60.16923885,-1.03,-5.46,-1.24,1.54,1.46,2.2,2.24,1.62,533,-0.7582,-0.6024,-0.4421,-0.897,6.67,10.44,False,H002382.d
